origin,job_original,populations_original,origin_DA_id,original_acc,job_increase_40,populations_increase_40,job_increase_240,populations_increase_240,job_increase_80,populations_increase_80,job_increase_120,populations_increase_120,job_increase_160,populations_increase_160,job_increase_200,populations_increase_200,job_increase_280,populations_increase_280,job_increase_320,populations_increase_320,job_increase_360,populations_increase_360,job_increase_400,populations_increase_400,job_increase_440,populations_increase_440,job_increase_480,populations_increase_480
13457613,5630.0,16351.0,35204420,5630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13457616,930.0,6251.0,35203258,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14063837,181610.0,230664.0,35202919,181610.0,360.0,1009.0,23890.0,61887.0,4945.0,8773.0,14850.0,47849.0,10690.0,16363.0,20990.0,52654.0,20465.0,56530.0,22625.0,58445.0,24870.0,63138.0,25110.0,64251.0,106570.0,160270.0,28635.0,72730.0
13457629,6180.0,16377.0,35204417,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13465823,2730.0,23916.0,35201692,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13457632,89705.0,195447.0,35204487,89705.0,3200.0,8695.0,40700.0,108174.0,30155.0,102159.0,34820.0,107564.0,14000.0,23017.0,42585.0,119734.0,41090.0,108898.0,43810.0,117272.0,43810.0,117272.0,45930.0,120701.0,75270.0,181103.0,70395.0,177805.0
13457637,281175.0,337220.0,35202904,281175.0,35460.0,19431.0,52315.0,56756.0,44065.0,41113.0,47055.0,50189.0,48415.0,43356.0,51890.0,52004.0,50470.0,52693.0,52630.0,54277.0,62910.0,59730.0,63315.0,61307.0,56440.0,66750.0,74050.0,93524.0
13449446,2340.0,13152.0,35202107,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13457645,218445.0,265790.0,35202679,218445.0,855.0,2761.0,26320.0,61217.0,6695.0,14527.0,18540.0,48018.0,15215.0,22653.0,23180.0,51089.0,23175.0,55386.0,25335.0,56970.0,27300.0,62468.0,27070.0,63535.0,25665.0,45273.0,33395.0,76760.0
13465838,2405.0,15623.0,35201735,2405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
